,rocket,success,flight_number,date_utc,flight,gridfins,legs,reused_x,landing_attempt,landing_success,landing_type,launchpad_name,launch_latitude,launch_longitude,launch_attempts,launch_successes,block,reuse_count,rtls_attempts,rtls_landings,asds_attempts,asds_landings,serial,PayloadType,PayloadMass,orbit,landpad_name,landpad_latitude,landpad_longitude,landing_attempts,landing_successes,outcome
0,Falcon 9,True,6,2010-06-04T18:45:00.000Z,1,False,False,False,False,False,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B0003,Dragon Boilerplate,601.0,LEO,,,,,,0
1,Falcon 9,True,8,2012-05-22T07:44:00.000Z,1,False,False,False,False,False,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B0005,Dragon 1.0,525.0,LEO,,,,,,0
2,Falcon 9,True,10,2013-03-01T19:10:00.000Z,1,False,False,False,False,False,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B0007,Dragon 1.0,677.0,ISS,,,,,,0
3,Falcon 9,True,12,2013-12-03T22:41:00.000Z,1,False,False,False,False,False,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1004,Satellite,3170.0,GTO,,,,,,0
4,Falcon 9,True,13,2014-01-06T18:06:00.000Z,1,False,False,False,False,False,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1005,Satellite,3325.0,GTO,,,,,,0
5,Falcon 9,True,14,2014-04-18T19:25:00.000Z,1,False,True,False,True,True,Ocean,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1006,Dragon 1.1,2296.0,ISS,,,,,,1
6,Falcon 9,True,15,2014-07-14T15:15:00.000Z,1,False,True,False,True,True,Ocean,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1007,Satellite,1316.0,LEO,,,,,,1
7,Falcon 9,True,16,2014-08-05T08:00:00.000Z,1,False,False,False,False,False,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1008,Satellite,4535.0,GTO,,,,,,0
8,Falcon 9,True,17,2014-09-07T05:00:00.000Z,1,False,False,False,False,False,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1011,Satellite,4428.0,GTO,,,,,,0
9,Falcon 9,True,18,2014-09-21T05:52:00.000Z,1,False,False,False,True,False,Ocean,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1010,Dragon 1.1,2216.0,ISS,,,,,,0
10,Falcon 9,True,19,2015-01-10T09:47:00.000Z,1,True,True,False,True,False,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1012,Dragon 1.1,2395.0,ISS,JRTI-1,28.4104,-80.6188,2.0,0.0,0
11,Falcon 9,True,20,2015-02-11T23:03:00.000Z,1,True,True,False,True,True,Ocean,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1013,Satellite,570.0,ES-L1,,,,,,1
12,Falcon 9,True,22,2015-04-14T20:10:00.000Z,1,True,True,False,True,False,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1015,Dragon 1.1,1898.0,ISS,JRTI-1,28.4104,-80.6188,2.0,0.0,0
13,Falcon 9,True,23,2015-04-27T23:03:00.000Z,1,False,False,False,False,False,,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1016,Satellite,4707.0,GTO,,,,,,0
14,Falcon 9,False,24,2015-06-28T14:21:00.000Z,1,True,True,False,True,False,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1018,Dragon 1.1,2477.0,ISS,OCISLY,33.7291858,-118.262015,61.0,54.0,0
15,Falcon 9,True,25,2015-12-22T01:29:00.000Z,1,True,True,False,True,True,RTLS,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,1,1,0,0,B1019,Satellite,2034.0,LEO,LZ-1,28.485833,-80.544444,21.0,20.0,1
16,Falcon 9,True,27,2016-03-04T23:35:00.000Z,1,True,True,False,True,False,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,1.0,0,0,0,0,0,B1020,Satellite,5271.0,GTO,OCISLY,33.7291858,-118.262015,61.0,54.0,0
17,Falcon 9,True,28,2016-04-08T20:43:00.000Z,1,True,True,False,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,2.0,1,0,0,2,2,B1021,Dragon 1.1,3136.0,ISS,OCISLY,33.7291858,-118.262015,61.0,54.0,1
18,Falcon 9,True,38,2017-03-30T22:27:00.000Z,2,True,True,True,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,2.0,1,0,0,2,2,B1021,Satellite,5300.0,GTO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
19,Falcon 9,True,29,2016-05-06T05:21:00.000Z,1,True,True,False,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,2.0,0,0,0,1,1,B1022,Satellite,4696.0,GTO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
20,Falcon 9,True,30,2016-05-27T21:39:00.000Z,1,True,True,False,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,2.0,1,1,1,1,1,B1023,Satellite,3100.0,GTO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
21,Falcon 9,True,32,2016-07-18T04:45:00.000Z,1,True,True,False,True,True,RTLS,CCSFS SLC 40,28.5618571,-80.577366,98,96,2.0,1,2,2,0,0,B1025,Dragon 1.1,2257.0,ISS,LZ-1,28.485833,-80.544444,21.0,20.0,1
22,Falcon 9,True,33,2016-08-14T05:26:00.000Z,1,True,True,False,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,2.0,0,0,0,1,1,B1026,Satellite,4600.0,GTO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
23,Falcon 9,False,34,2016-09-01T13:07:00.000Z,1,True,True,False,True,False,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,3.0,0,0,0,0,0,B1028,Satellite,5500.0,GTO,OCISLY,33.7291858,-118.262015,61.0,54.0,0
24,Falcon 9,True,51,2017-12-15T15:36:00.000Z,2,True,True,True,True,True,RTLS,CCSFS SLC 40,28.5618571,-80.577366,98,96,3.0,1,2,2,0,0,B1035,Dragon 1.1,2205.0,ISS,LZ-1,28.485833,-80.544444,21.0,20.0,1
25,Falcon 9,True,41,2017-06-03T21:07:00.000Z,1,True,True,False,True,True,RTLS,KSC LC 39A,28.6080585,-80.6039558,54,54,3.0,1,2,2,0,0,B1035,Dragon 1.1,2708.0,ISS,LZ-1,28.485833,-80.544444,21.0,20.0,1
26,Falcon 9,True,53,2018-01-08T01:00:00.000Z,1,True,True,False,True,True,RTLS,CCSFS SLC 40,28.5618571,-80.577366,98,96,4.0,1,1,1,0,0,B1043,Satellite,9120.12375,LEO,LZ-1,28.485833,-80.544444,21.0,20.0,1
27,Falcon 9,True,54,2018-01-31T21:25:00.000Z,2,True,True,True,True,True,Ocean,CCSFS SLC 40,28.5618571,-80.577366,98,96,3.0,1,1,1,0,0,B1032,Satellite,4230.0,GTO,,,,,,1
28,Falcon 9,True,39,2017-05-01T11:15:00.000Z,1,True,True,False,True,True,RTLS,KSC LC 39A,28.6080585,-80.6039558,54,54,3.0,1,1,1,0,0,B1032,Satellite,9120.12375,LEO,LZ-1,28.485833,-80.544444,21.0,20.0,1
29,Falcon 9,True,57,2018-03-06T05:33:00.000Z,1,True,True,False,False,False,,CCSFS SLC 40,28.5618571,-80.577366,98,96,4.0,0,0,0,0,0,B1044,Satellite,6092.0,GTO,,,,,,0
30,Falcon 9,True,59,2018-04-02T20:30:41.000Z,2,True,True,True,False,False,,CCSFS SLC 40,28.5618571,-80.577366,98,96,4.0,1,1,1,0,0,B1039,Dragon 1.1,2760.0,ISS,,,,,,0
31,Falcon 9,True,45,2017-08-14T16:31:00.000Z,1,True,True,False,True,True,RTLS,KSC LC 39A,28.6080585,-80.6039558,54,54,4.0,1,1,1,0,0,B1039,Dragon 1.1,2910.0,ISS,LZ-1,28.485833,-80.544444,21.0,20.0,1
32,Falcon 9,True,60,2018-04-18T22:51:00.000Z,1,True,True,False,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,4.0,1,0,0,1,1,B1045,Satellite,350.0,HEO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
33,Falcon 9,True,64,2018-06-29T09:42:00.000Z,2,False,False,True,False,False,,CCSFS SLC 40,28.5618571,-80.577366,98,96,4.0,1,0,0,1,1,B1045,Dragon 1.1,2410.0,ISS,,,,,,0
34,Falcon 9,True,63,2018-06-04T04:45:00.000Z,2,False,False,True,False,False,,CCSFS SLC 40,28.5618571,-80.577366,98,96,4.0,1,1,1,0,0,B1040,Satellite,5383.85,GTO,,,,,,0
35,Falcon 9,True,47,2017-09-07T13:50:00.000Z,1,True,True,False,True,True,RTLS,KSC LC 39A,28.6080585,-80.6039558,54,54,4.0,1,1,1,0,0,B1040,Satellite,4990.0,LEO,LZ-1,28.485833,-80.544444,21.0,20.0,1
36,Falcon 9,True,65,2018-07-22T05:50:00.000Z,1,True,True,False,True,True,ASDS,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,2,0,0,2,2,B1047,Satellite,7076.0,GTO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
37,Falcon 9,True,83,2019-08-06T22:52:00.000Z,3,False,False,True,False,False,,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,2,0,0,2,2,B1047,Satellite,6500.0,GTO,,,,,,0
38,Falcon 9,True,70,2018-11-15T20:46:00.000Z,2,True,True,True,True,True,ASDS,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,2,0,0,2,2,B1047,Satellite,3000.0,GTO,OCISLY,33.7291858,-118.262015,61.0,54.0,1
