,rocket,success,flight_number,date_utc,flight,gridfins,legs,reused_x,landing_attempt,landing_success,landing_type,landpad,launchpad_name,launch_latitude,launch_longitude,launch_attempts,launch_successes,block,reuse_count,rtls_attempts,rtls_landings,asds_attempts,asds_landings,serial,PayloadType,PayloadMass,mass_lbs,orbit,landpad_name,landpad_type,landpad_latitude,landpad_longitude,landing_attempts,landing_successes
89,Falcon 9,True,158,2022-04-21T15:16:00.000Z,12,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,12,1,1,12,12,B1060,Satellite,13260.0,29233.0,VLEO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
90,Falcon 9,True,102,2020-09-03T12:46:00.000Z,2,True,True,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,12,1,1,12,12,B1060,Satellite,15600.0,34392.0,VLEO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
91,Falcon 9,True,146,2022-01-19T00:04:00.000Z,10,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,12,1,1,12,12,B1060,Satellite,13260.0,29233.0,VLEO,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
92,Falcon 9,True,152,2022-03-03T14:35:00.000Z,11,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,12,1,1,12,12,B1060,Satellite,13260.0,29233.0,VLEO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
93,Falcon 9,True,167,2022-06-01T17:08:50.000Z,13,True,True,True,True,True,ASDS,5e9e3033383ecb075134e7cd,KSC LC 39A,28.6080585,-80.6039558,54,54,5.0,12,1,1,12,12,B1060,Satellite,13260.0,29233.0,VLEO,ASOG,ASDS,33.7291858,-118.262015,21.0,21.0
94,Falcon 9,True,98,2020-07-20T21:30:00.000Z,2,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,,,GEO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
95,Falcon 9,True,115,2021-01-24T15:00:00.000Z,5,True,True,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,,,SSO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
96,Falcon 9,True,119,2021-03-11T08:13:00.000Z,6,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,15600.0,34392.0,VLEO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
97,Falcon 9,True,122,2021-04-07T16:34:00.000Z,7,True,True,True,True,True,ASDS,5e9e3032383ecb6bb234e7ca,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,15600.0,34392.0,VLEO,OCISLY,ASDS,33.7291858,-118.262015,61.0,54.0
98,Falcon 9,True,137,2021-11-13T12:40:00.000Z,9,True,True,True,True,True,ASDS,5e9e3033383ecbb9e534e7cc,CCSFS SLC 40,28.5618571,-80.577366,98,96,5.0,13,1,1,13,13,B1058,Satellite,13260.0,29233.0,LEO,JRTI,ASDS,28.4104,-80.6188,38.0,37.0
